,page_id,title,attribute,text_offset_start_line_id,text_offset_start_offset,text_text,html_offset_start_line_id,html_offset_start_offset,html_text,text_offset_end_line_id,text_offset_end_offset,html_offset_end_line_id,html_offset_end_offset,system_03011,system_10011,system_05010,system_07011,system_02010,system_01011,text_offset_start,text_offset_end,html_offset_start,html_offset_end,correct,cleaned_text,crowd_ans,page_id_x,count_yes_x,count_no_x,count_na_x,MV,page_id_y,count_yes_y,count_no_y,count_na_y
0,436539.0,アヴェルヌス湖,水面標高,43,0,1  m,43,0,1  m,43,4,43,4,,True,True,True,True,True,2633,2637,9472,9476,True,1  m,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",,,,,,,,,
1,436539.0,アヴェルヌス湖,周囲長,41,0,2  km,41,0,"2  <a href=""/index.php/%E3%82%AD%E3%83%AD%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""キロメートル"">km",41,5,41,96,,True,True,True,True,True,2615,2620,8901,8997,True,2  km,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",,,,,,,,,
2,436539.0,アヴェルヌス湖,島,40,52,40.83833,40,679,40.83833,40,60,40,687,,True,,,,,2442,2450,7611,7619,,4083833,"no,no,nan,no,nan,nan,no,nan,nan,no",,,,,,,,,
3,436539.0,アヴェルヌス湖,島,40,126,40.83833,40,1552,40.83833,40,134,40,1560,,True,,,,,2516,2524,8484,8492,,4083833,"nan,nan,no,no,no,nan,no,nan,no,nan",,,,,,,,,
4,436539.0,アヴェルヌス湖,座標・緯度,40,52,40.83833,40,679,40.83833,40,60,40,687,True,,,True,True,,2442,2450,7611,7619,,4083833,"yes,yes,nan,nan,yes,yes,yes,yes,nan,nan",,,,,,,,,
5,436539.0,アヴェルヌス湖,座標・緯度,40,126,40.83833,40,1552,40.83833,40,134,40,1560,,,,True,True,,2516,2524,8484,8492,,4083833,"nan,no,yes,nan,nan,nan,nan,nan,no,yes",,,,,,,,,
6,436539.0,アヴェルヌス湖,成因,42,0,60 m,42,0,"60 <a href=""/index.php/%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""メートル"">m",42,4,42,75,,True,,,,,2624,2628,9169,9244,,60 m,"no,no,no,no,no,no,no,no,no,no",,,,,,,,,
7,436539.0,アヴェルヌス湖,最大水深,42,0,60 m,42,0,"60 <a href=""/index.php/%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""メートル"">m",42,4,42,75,,,True,True,True,True,2624,2628,9169,9244,True,60 m,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",,,,,,,,,
8,436539.0,アヴェルヌス湖,水深,42,0,60 m,42,0,"60 <a href=""/index.php/%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""メートル"">m",42,4,42,75,,True,,,,,2624,2628,9169,9244,,60 m,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",,,,,,,,,
9,436539.0,アヴェルヌス湖,別名,46,23,Lago d'Averno,46,138,Lago d'Averno,46,36,46,151,True,,True,True,True,,2695,2708,10579,10592,True,Lago dAverno,"yes,yes,no,yes,yes,no,yes,yes,no,yes",,,,,,,,,
10,436539.0,アヴェルヌス湖,動物,46,23,Lago d'Averno,46,138,Lago d'Averno,46,36,46,151,,True,,,,,2695,2708,10579,10592,,Lago dAverno,"no,no,no,no,no,no,no,no,yes,no",,,,,,,,,
11,436539.0,アヴェルヌス湖,別名,46,42,Lake Avernus,46,239,Lake Avernus,46,54,46,251,True,,True,True,True,,2714,2726,10680,10692,True,Lake Avernus,"yes,no,yes,yes,yes,yes,yes,yes,yes,no",,,,,,,,,
12,436539.0,アヴェルヌス湖,動物,46,42,Lake Avernus,46,239,Lake Avernus,46,54,46,251,,True,,,,,2714,2726,10680,10692,,Lake Avernus,"no,yes,no,no,no,no,no,no,no,no",,,,,,,,,
13,436539.0,アヴェルヌス湖,長さ,50,143,km,50,769,km,50,145,50,771,,,,,True,,3458,3460,13476,13478,,km,"no,no,no,no,no,no,no,no,no,no",,,,,,,,,
14,436539.0,アヴェルヌス湖,読み,46,8,アヴェルヌスこ,46,18,アヴェルヌスこ,46,15,46,25,True,True,True,True,True,,2680,2687,10459,10466,True,アヴェルヌスこ,"yes,yes,yes,yes,yes,yes,yes,no,yes,yes",,,,,,,,,
15,436539.0,アヴェルヌス湖,別名,38,0,アヴェルヌス湖,38,323,アヴェルヌス湖,38,7,38,330,,True,,,,,2317,2324,5805,5812,,アヴェルヌス湖,"no,no,no,no,no,no,yes,no,no,no",,,,,,,,,
16,436539.0,アヴェルヌス湖,別名,38,26,アヴェルヌス湖,38,736,アヴェルヌス湖,38,33,38,743,,True,,,,,2343,2350,6218,6225,,アヴェルヌス湖,"yes,nan,no,no,no,no,no,no,yes,no",,,,,,,,,
17,436539.0,アヴェルヌス湖,名前の謂れ,47,0,アヴェルヌス湖を冥府の入り口と考えていた古代ローマ人にとって重大な湖であった。その上を飛んだ鳥が瘴気に当てられて墜死したという俗信があり、ギリシャ語で「鳥がいない」という意味を持つ 'aornos' からとってこの名前がつけられた。,47,7,"アヴェルヌス湖を<a href=""/index.php/%E3%83%8F%E3%83%BC%E3%83%87%E3%83%BC%E3%82%B9"" title=""ハーデース"">冥府</a>の入り口と考えていた<a href=""/index.php/%E5%8F%A4%E4%BB%A3%E3%83%AD%E3%83%BC%E3%83%9E"" title=""古代ローマ"">古代ローマ</a>人にとって重大な湖であった。その上を飛んだ鳥が瘴気に当てられて墜死したという俗信があり、<a href=""/index.php/%E3%82%AE%E3%83%AA%E3%82%B7%E3%83%A3%E8%AA%9E"" class=""mw-redirect"" title=""ギリシャ語"">ギリシャ語</a>で「鳥がいない」という意味を持つ 'aornos' からとってこの名前がつけられた。",47,116,47,398,,,,,True,,2828,2944,11348,11739,,アヴェルヌス湖を冥府の入り口と考えていた古代ローマ人にとって重大な湖であった。その上を飛んだ鳥が瘴気に当てられて墜死したという俗信があり、ギリシャ語で「鳥がいない」という意味を持つ aornos からとってこの名前がつけられた。,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",,,,,,,,,
